state,rate
Alabama,42
Alaska,78
Arizona,15
Arkansas,63
California,91
Colorado,34
Connecticut,57
Delaware,8
Florida,86
Georgia,49
Hawaii,22
Idaho,71
Illinois,55
Indiana,38
Iowa,66
Kansas,29
Kentucky,44
Louisiana,77
Maine,12
Maryland,53
Massachusetts,68
Michigan,40
Minnesota,59
Mississippi,25
Missouri,47
Montana,83
Nebraska,31
Nevada,74
New Hampshire,18
New Jersey,61
New Mexico,36
New York,95
North Carolina,52
North Dakota,7
Ohio,58
Oklahoma,43
Oregon,69
Pennsylvania,64
Rhode Island,5
South Carolina,46
South Dakota,11
Tennessee,50
Texas,88
Utah,33
Vermont,9
Virginia,56
Washington,72
West Virginia,21
Wisconsin,48
Wyoming,3
